task_id,title,claimed_status_previous_run,claimed_maturity_previous_run,acceptance_requirements,required_evidence_level,actual_evidence_refs,actual_evidence_level,highest_provable_maturity,reconciled_status,reason,human_gate_dependency,runtime_dependency,review_dependency,confidence
G0.01,Congelar baseline e registrar commit/runtime alvo,ACCEPTED,TESTED_LOCAL,"Commit base, working tree, serviços-alvo e janela de trabalho registrados sem segredos.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G0.01.md,E2_LOCAL_EXECUTION,TESTED_LOCAL,VALIDATED_ACCEPTED,Independently verified via git/file checksum/schema validation.,,NO,PRO,HIGH
G0.02,Formalizar hierarquia de fontes de verdade,ACCEPTED,TESTED_LOCAL,Documento de precedência aprovado: runtime+fonte oficial > código/testes > docs recentes verificadas > ZIP operacional > análises geradas.,E2_LOCAL_EXECUTION,.evidence/graph-engineer/G0.02.md,E2_LOCAL_EXECUTION,TESTED_LOCAL,VALIDATED_ACCEPTED,Independently verified via git/file checksum/schema validation.,,NO,PRO,HIGH
G0.03,"Ativar guardas de secrets, PII e corpus privado",ACCEPTED,TESTED_LOCAL,"Scanners bloqueantes, paths privados e regra zero raw PII/secret em logs/commits confirmados.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G0.03.md,E2_LOCAL_EXECUTION,TESTED_LOCAL,TESTED_LOCAL_ONLY,"Unit tests/CSV dataset verified locally, but pending full E2E or production deployment.",,NO,PRO,HIGH
G0.04,"Inicializar graph state, leases e WIP limits",ACCEPTED,TESTED_LOCAL,"Graph JSON válido, 100 nós, DAG acíclico, leases com TTL e WIP por agente.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G0.04.md,E2_LOCAL_EXECUTION,TESTED_LOCAL,VALIDATED_ACCEPTED,Independently verified via git/file checksum/schema validation.,,NO,PRO,HIGH
G0.05,Criar estratégia de branches/worktrees e hotspots serializados,ACCEPTED,TESTED_LOCAL,Cada executor possui worktree/branch própria; audit/pii/mcp/hermes/SOUL/memory são hotspots exclusivos.,E2_LOCAL_EXECUTION,.evidence/graph-engineer/G0.05.md,E2_LOCAL_EXECUTION,TESTED_LOCAL,VALIDATED_ACCEPTED,Independently verified via git/file checksum/schema validation.,,NO,PRO,HIGH
G0.06,Executar baseline local de qualidade,ACCEPTED,TESTED_LOCAL,Targeted tests + lint + mypy + secrets passam ou falhas pré-existentes são registradas sem maquiagem.,E2_LOCAL_EXECUTION,.evidence/graph-engineer/G0.06.md,E2_LOCAL_EXECUTION,TESTED_LOCAL,TESTED_LOCAL_ONLY,"Unit tests/CSV dataset verified locally, but pending full E2E or production deployment.",,NO,TERRA,HIGH
G0.07,Executar inventário read-only do runtime relevante,ACCEPTED,TESTED_LOCAL,"Hermes/Lark/API/MCP/DB/Redis inventariados sem imprimir envs, payloads ou tokens.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G0.07.md,E2_LOCAL_EXECUTION,TESTED_LOCAL,TESTED_LOCAL_ONLY,"Unit tests/CSV dataset verified locally, but pending full E2E or production deployment.",,NO,PRO,HIGH
G0.08,Criar ledger append-only por task,ACCEPTED,TESTED_LOCAL,"Todo nó exige comando, retorno, artefato, hash, reviewer e timestamp.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G0.08.md,E2_LOCAL_EXECUTION,TESTED_LOCAL,VALIDATED_ACCEPTED,Independently verified via git/file checksum/schema validation.,,NO,PRO,HIGH
G0.09,Criar registro de riscos e rollback por wave,ACCEPTED,TESTED_LOCAL,"Cada wave tem blast radius, prechecks, rollback e postchecks.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G0.09.md,E1_STATIC,CONFIGURED,CONFIGURED_ONLY,"Static markdown/schema evidence present, but lack independent execution proof.",,NO,PRO,HIGH
G0.10,Registrar gates humanos e donos,ACCEPTED,TESTED_LOCAL,"Tenant Lark, publicação de conhecimento, camada operacional de preços e teste Felipe têm donos e sinais de liberação.",E2_LOCAL_EXECUTION,.evidence/graph-engineer/G0.10.md,E0_SELF_ASSERTED,UNVERIFIED,BLOCKED_HUMAN,Depends on Human Gate (HG) requiring explicit external human signoff.,,NO,PRO,HIGH
